"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 28 13:00:47 GMT 2023","Tue Mar 28 13:00:47 GMT 2023","133","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","searchNovostroykiItemsContainSearchZhk","Поисковая выдача должна содержать искомый ЖК",""
"broken","Tue Mar 28 13:00:48 GMT 2023","Tue Mar 28 13:00:48 GMT 2023","133","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","resultSearchCityAndSelectRoomShouldContainsZhkFromSuchCityAndWithSuchTypeFlats","resultSearchCityAndSelectRoomShouldContainsZhkFromSuchCityAndWithSuchTypeFlats(String, String, String) Результат поиска по г. Одинцово и комнатности 1-комн. должнен содержать новостройки из г. Одинцово с типом квартир 1-комн.",""
"passed","Tue Mar 28 13:00:25 GMT 2023","Tue Mar 28 13:00:27 GMT 2023","1991","","ru.prudnikova.tests.allureTest.AttachmentsTest","","ru.prudnikova.tests.allureTest.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Tue Mar 28 13:00:46 GMT 2023","Tue Mar 28 13:00:47 GMT 2023","534","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadJsonFile","Чтение файла формата .json",""
"broken","Tue Mar 28 13:00:46 GMT 2023","Tue Mar 28 13:00:46 GMT 2023","228","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadPdfFile","Загрузка и чтение файла формата .pdf",""
"failed","Tue Mar 28 13:00:27 GMT 2023","Tue Mar 28 13:00:34 GMT 2023","6783","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","issueSearchWithListener","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Listener",""
"passed","Tue Mar 28 13:00:40 GMT 2023","Tue Mar 28 13:00:40 GMT 2023","47","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","zipTestCsv","zipTestCsv()",""
"broken","Tue Mar 28 13:00:46 GMT 2023","Tue Mar 28 13:00:46 GMT 2023","142","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadDocxFile","Загрузка и чтение файла формата .docx",""
"passed","Tue Mar 28 13:00:27 GMT 2023","Tue Mar 28 13:00:27 GMT 2023","1","","ru.prudnikova.tests.allureTest.LabelTest","","ru.prudnikova.tests.allureTest.LabelTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"broken","Tue Mar 28 13:00:46 GMT 2023","Tue Mar 28 13:00:46 GMT 2023","212","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadTxtFile","Загрузка и чтение файла формата .txt",""
"passed","Tue Mar 28 13:00:21 GMT 2023","Tue Mar 28 13:00:25 GMT 2023","4358","","ru.prudnikova.tests.allureTest.AttachmentsTest","","ru.prudnikova.tests.allureTest.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"broken","Tue Mar 28 13:00:40 GMT 2023","Tue Mar 28 13:00:40 GMT 2023","147","","ru.prudnikova.tests.downloadFile.DownloadFileWithProxy","","ru.prudnikova.tests.downloadFile.DownloadFileWithProxy","downloadFile","Загрузка файла через прокси, потому что локатор кнопки Скачать не содержит href",""
"passed","Tue Mar 28 13:00:40 GMT 2023","Tue Mar 28 13:00:45 GMT 2023","4910","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","zipTestPdf","zipTestPdf()",""
"passed","Tue Mar 28 13:00:37 GMT 2023","Tue Mar 28 13:00:40 GMT 2023","2589","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","testAnnotatedStep","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Steps",""
"broken","Tue Mar 28 13:00:40 GMT 2023","Tue Mar 28 13:00:40 GMT 2023","158","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadDocFile","Загрузка файла формата .doc",""
"broken","Tue Mar 28 13:00:48 GMT 2023","Tue Mar 28 13:00:48 GMT 2023","149","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","addressNovostroykiItemsContainSearchCity","addressNovostroykiItemsContainSearchCity(String) Адрес новостроек должен содержать г. Дмитров в поисковой выдаче по г. Дмитров",""
"broken","Tue Mar 28 13:00:45 GMT 2023","Tue Mar 28 13:00:46 GMT 2023","126","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","zipTestXls","zipTestXls()",""
"broken","Tue Mar 28 13:00:48 GMT 2023","Tue Mar 28 13:00:48 GMT 2023","132","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","addressNovostroykiItemsContainSearchCity","addressNovostroykiItemsContainSearchCity(String) Адрес новостроек должен содержать г. Одинцово в поисковой выдаче по г. Одинцово",""
"broken","Tue Mar 28 13:00:47 GMT 2023","Tue Mar 28 13:00:47 GMT 2023","154","","ru.prudnikova.tests.parameterizedTest.MoveMainMenuTests","","ru.prudnikova.tests.parameterizedTest.MoveMainMenuTests","verifyMenuContainsExpectSubMenuLinks","verifyMenuContainsExpectSubMenuLinks(String, List) При клике на пункт меню Новостройки появляется dropdown-menu: [Квартиры в новостройках, Каталог ЖК и новостроек, Элитные ЖК в Москве, Коттеджные поселки, Застройщики]",""
"broken","Tue Mar 28 13:00:47 GMT 2023","Tue Mar 28 13:00:47 GMT 2023","170","","ru.prudnikova.tests.parameterizedTest.MoveMainMenuTests","","ru.prudnikova.tests.parameterizedTest.MoveMainMenuTests","verifyMenuContainsExpectSubMenuLinks","verifyMenuContainsExpectSubMenuLinks(String, List) При клике на пункт меню Коммерческая появляется dropdown-menu: [Офисы, Склады, Помещения свободного назначения, Отдельно стоящие здания, Производство, Нежилые здания, Каталог Бизнес-центров, Все предложения]",""
"broken","Tue Mar 28 13:00:47 GMT 2023","Tue Mar 28 13:00:48 GMT 2023","185","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","resultSearchCityAndSelectRoomShouldContainsZhkFromSuchCityAndWithSuchTypeFlats","resultSearchCityAndSelectRoomShouldContainsZhkFromSuchCityAndWithSuchTypeFlats(String, String, String) Результат поиска по г. Дмитров и комнатности Студии должнен содержать новостройки из г. Дмитров с типом квартир Студии",""
"passed","Tue Mar 28 13:00:46 GMT 2023","Tue Mar 28 13:00:46 GMT 2023","34","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadCsvFile","Чтение файла формата .csv",""
"passed","Tue Mar 28 13:00:34 GMT 2023","Tue Mar 28 13:00:37 GMT 2023","3357","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","issueSearchWithLambda","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Lambda",""
"broken","Tue Mar 28 13:00:40 GMT 2023","Tue Mar 28 13:00:40 GMT 2023","145","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadXlsFile","Загрузка и чтение файла формата .xls",""
