"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 28 18:13:28 GMT 2023","Tue Mar 28 18:13:29 GMT 2023","229","","ru.prudnikova.tests.parameterizedTest.MoveMainMenuTests","","ru.prudnikova.tests.parameterizedTest.MoveMainMenuTests","verifyMenuContainsExpectSubMenuLinks","verifyMenuContainsExpectSubMenuLinks(String, List) При клике на пункт меню Коммерческая появляется dropdown-menu: [Офисы, Склады, Помещения свободного назначения, Отдельно стоящие здания, Производство, Нежилые здания, Каталог Бизнес-центров, Все предложения]",""
"broken","Tue Mar 28 18:13:30 GMT 2023","Tue Mar 28 18:13:30 GMT 2023","210","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","addressNovostroykiItemsContainSearchCity","addressNovostroykiItemsContainSearchCity(String) Адрес новостроек должен содержать г. Одинцово в поисковой выдаче по г. Одинцово",""
"passed","Tue Mar 28 18:13:06 GMT 2023","Tue Mar 28 18:13:06 GMT 2023","1","","ru.prudnikova.tests.allureTest.LabelTest","","ru.prudnikova.tests.allureTest.LabelTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Tue Mar 28 18:13:17 GMT 2023","Tue Mar 28 18:13:20 GMT 2023","2789","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","testAnnotatedStep","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Steps",""
"passed","Tue Mar 28 18:13:07 GMT 2023","Tue Mar 28 18:13:12 GMT 2023","5523","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","issueSearchWithListener","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Listener",""
"passed","Tue Mar 28 18:13:28 GMT 2023","Tue Mar 28 18:13:28 GMT 2023","64","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadCsvFile","Чтение файла формата .csv",""
"passed","Tue Mar 28 18:13:20 GMT 2023","Tue Mar 28 18:13:27 GMT 2023","6323","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","zipTestPdf","zipTestPdf()",""
"broken","Tue Mar 28 18:13:29 GMT 2023","Tue Mar 28 18:13:29 GMT 2023","202","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","searchNovostroykiItemsContainSearchZhk","Поисковая выдача должна содержать искомый ЖК",""
"broken","Tue Mar 28 18:13:27 GMT 2023","Tue Mar 28 18:13:27 GMT 2023","192","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadTxtFile","Загрузка и чтение файла формата .txt",""
"skipped","Tue Mar 28 18:13:20 GMT 2023","Tue Mar 28 18:13:20 GMT 2023","0","","ru.prudnikova.tests.downloadFile.DownloadFileWithProxy","","ru.prudnikova.tests.downloadFile.DownloadFileWithProxy","downloadFile","Загрузка файла через прокси, потому что локатор кнопки Скачать не содержит href",""
